MCSID	FACTRY00	FIMDSCON	FIMDINCN	FIMDEMPN	FIMDHDDN	FIMDESTN	FIMDCRIN	FIMDLEDN	FINRURUR
M15695A	4	1	1	1	1	3	6	2	2
M15704J	4	3	3	3	5	2	5	3	1
M15730L	4	8	10	10	6	8	8	7	1
M15739V	4	3	5	3	2	2	6	6	2
M15753T	4	7	6	7	9	5	5	5	2
M15782Y	4	4	4	5	7	4	7	5	1
M15792A	4	2	2	3	4	1	2	2	2
M15805N	4	8	9	9	4	10	1	5	2
M15855Y	4	2	2	3	4	1	2	2	2
M15868D	4	2	2	2	4	3	6	2	1
M15918W	4	8	8	8	7	9	8	7	1
M15940U	4	3	5	3	2	2	6	6	2
M15984G	4	8	8	8	9	7	10	9	1
M16016V	4	7	7	6	6	6	6	7	2
M16019Y	4	6	5	7	9	5	10	3	1
M16025W	4	2	2	2	2	4	2	3	2
M16030T	4	2	2	2	2	1	1	3	2
M16061A	4	2	3	3	3	2	3	1	2
M16070B	4	4	5	5	6	4	9	4	1
M16085J	4	2	2	1	2	3	3	1	2
M16108Y	4	10	10	10	9	10	3	8	2
M16128C	4	10	10	10	9	10	9	10	2
M16137D	4	2	2	4	5	4	10	1	1
M16163F	4	3	3	4	10	2	9	3	1
M16168L	4	2	2	2	2	2	4	2	2
M16171F	4	1	1	1	1	1	1	1	2
M16176L	4	8	8	9	10	7	9	6	1
M16187P	4	4	5	4	4	2	2	2	2
M16272K	4	1	1	1	2	3	6	2	2
M16288T	4	4	4	4	6	4	5	5	2
M16296T	4	7	7	7	8	7	7	8	1
M16311Z	4	10	9	9	10	9	7	10	2
M16352J	4	4	4	4	9	4	10	6	1
M16406F	4	6	6	5	3	6	8	7	2
M16422F	4	10	9	9	10	10	5	10	2
M16426K	4	3	3	2	3	6	2	4	2
M16442K	4	5	7	5	4	7	9	4	1
M16509M	4	3	4	3	4	2	3	3	2
M16535P	4	5	4	5	6	4	2	9	2
M16548U	4	10	10	10	7	10	8	10	2
M16608P	4	6	6	6	5	7	10	6	1
M16662V	4	2	2	4	5	4	10	1	1
M16671W	4	3	2	2	4	3	3	1	2
M16672X	4	5	7	5	4	7	9	4	1
M16674Z	4	5	5	7	7	5	10	4	1
M16698H	4	3	3	4	4	2	2	1	2
M16766C	4	4	3	4	9	4	10	6	1
M16844Z	4	2	3	2	4	6	1	1	2
M16865E	4	7	7	7	8	7	7	8	1
M16906W	4	5	5	7	7	5	10	4	1
M16922W	4	6	7	6	9	4	10	3	1
M16923X	4	7	7	7	8	7	7	8	1
M16946E	4	4	3	3	10	3	4	5	2
M16969M	4	1	1	1	1	1	1	1	2
M17001S	4	2	2	1	1	3	4	2	2
M17004V	4	7	7	7	8	7	7	8	1
M17039G	4	6	6	7	4	7	8	6	1
M17121Z	4	5	6	5	6	6	8	6	1
M17142E	4	2	1	2	2	2	4	4	2
M17160G	4	8	8	8	4	10	2	5	2
M17163K	4	6	6	9	2	7	1	3	2
M17173M	4	6	6	5	3	6	8	7	2
M17202Z	4	8	8	8	4	10	2	5	2
M17214D	4	2	1	2	3	1	3	5	2
M17234H	4	2	1	3	1	2	2	1	2
M17238M	4	2	2	2	1	5	1	3	2
M17259S	4	2	2	2	2	1	1	3	2
M17266R	4	2	2	4	5	4	10	1	1
M17284T	4	5	5	7	7	5	10	4	1
M17322G	4	2	3	3	4	2	8	2	1
M17345P	4	10	9	9	10	10	5	10	2
M17351M	4	10	9	9	10	10	5	10	2
M17359V	4	2	2	2	6	3	10	8	1
M17364S	4	1	1	1	1	2	4	2	2
M17370Q	4	4	4	5	7	4	7	5	1
M17428R	4	3	3	3	3	3	1	8	2
M17446T	4	6	6	6	5	7	10	6	1
M17473W	4	2	2	2	3	1	9	2	2
M17507P	4	8	9	9	4	10	1	5	2
M17518S	4	4	5	5	6	4	9	4	1
M17527T	4	6	6	5	9	6	10	4	1
M17548Y	4	10	10	10	10	10	9	10	2
M17554W	4	7	7	8	5	7	6	7	1
M17614R	4	7	7	8	5	7	6	7	1
M17669G	4	10	9	9	10	10	5	10	2
M17700N	4	10	10	10	6	10	10	9	2
M17713T	4	10	10	10	9	10	9	10	2
M17722U	4	5	6	5	6	6	8	6	1
M17724W	4	2	2	2	2	2	2	2	2
M17785K	4	4	5	5	6	4	9	4	1
M17812V	4	10	10	10	10	10	7	10	1
