MCSID	FACTRY00	FISIMDSC	FISIMDIN	FISIMDEM	FISIMDHD	FISIMDES	FISIMDHO	FISIMDMG	FISRURUR
M24100M	3	10	10	10	9	9	10	6	1
M24105S	3	3	2	3	3	2	7	5	2
M24139C	3	7	6	6	5	9	5	9	2
M24174F	3	8	9	9	6	9	6	1	5
M24190F	3	5	5	4	5	5	8	4	2
M24230W	3	6	6	7	4	5	4	4	1
M24231X	3	8	7	7	8	7	7	10	5
M24272G	3	7	7	8	7	6	6	2	5
M24276L	3	2	2	2	1	4	1	10	1
M24277M	3	6	7	8	9	6	6	1	6
M24284L	3	7	8	10	8	7	6	1	5
M24298S	3	5	4	8	8	4	8	2	2
M24307A	3	10	10	10	10	8	9	3	3
M24327E	3	1	1	1	1	1	1	7	2
M24356K	3	7	6	6	7	5	7	8	2
M24380K	3	8	7	9	8	7	5	5	6
M24401X	3	3	3	2	2	4	6	5	3
M24408E	3	4	4	3	3	3	6	10	2
M24426G	3	9	8	8	9	8	8	4	4
M24430C	3	1	1	1	2	2	1	9	1
M24460J	3	8	9	9	9	10	9	1	5
M24481P	3	10	9	10	10	10	9	4	1
M24571Q	3	4	3	4	8	8	5	2	6
M24572R	3	3	3	2	2	4	6	5	3
M24583U	3	7	7	6	7	7	9	5	3
M24607K	3	3	2	2	3	4	6	10	2
M24623K	3	5	5	5	6	4	6	9	1
M24624L	3	10	10	10	10	10	10	6	1
M24650N	3	3	3	3	6	2	5	8	5
M24657V	3	2	2	2	2	3	1	7	1
M24686A	3	2	2	2	4	3	5	3	6
M24709Q	3	6	6	5	8	8	7	2	5
M24710H	3	1	1	1	1	2	1	9	1
M24717Q	3	9	10	9	10	10	10	1	3
M24767A	3	10	10	9	10	10	8	3	1
M24776B	3	10	10	9	9	7	10	5	2
M24828W	3	3	4	2	3	3	2	6	1
M24844W	3	6	4	6	4	5	4	10	1
M24845X	3	7	6	8	7	5	8	5	1
M24862Y	3	1	1	1	2	2	2	5	2
M24869F	3	10	10	10	8	10	10	2	2
M24920R	3	9	10	9	10	10	9	2	1
M24921S	3	5	5	4	4	5	9	6	3
M24922T	3	6	5	5	7	6	8	7	2
M24971C	3	7	8	5	7	5	10	4	5
M24982F	3	9	10	10	10	10	9	1	1
M24991G	3	5	5	4	5	5	8	4	2
M25004S	3	2	2	2	1	1	3	10	1
M25031V	3	6	5	6	7	5	7	7	6
M25038C	3	6	6	7	4	6	2	6	1
M25087M	3	9	9	8	8	9	8	4	1
M25128D	3	9	10	10	10	7	10	2	2
M25210W	3	3	3	3	4	4	5	4	5
M25237H	3	10	9	9	9	10	9	8	1
M25316F	3	7	9	8	10	8	4	1	6
M25323E	3	10	9	10	9	8	9	4	5
M25338M	3	3	3	3	6	2	5	8	5
M25391S	3	9	7	8	7	9	7	9	5
M25408J	3	9	9	8	8	9	8	4	1
M25422G	3	6	6	5	7	4	5	10	1
M25423H	3	9	9	7	7	9	7	6	1
M25450L	3	10	10	10	9	10	9	5	1
M25497B	3	10	10	10	10	10	10	4	1
M25510F	3	6	6	6	4	7	8	3	2
M25592Z	3	4	4	3	3	3	6	10	2
M25636U	3	6	6	5	6	6	8	9	3
M25657Z	3	2	3	3	2	1	3	9	1
M25665Z	3	6	7	5	4	3	6	5	3
M25736X	3	9	9	9	8	9	9	3	2
M25779J	3	8	7	7	7	8	9	7	2
M25790D	3	2	2	2	2	2	4	3	6
M25833X	3	8	8	8	10	9	6	1	5
M25834Y	3	5	5	4	5	5	7	7	3
M25847D	3	3	2	4	4	4	4	8	2
M25848E	3	6	5	4	7	7	9	5	1
M25854C	3	3	3	3	2	3	3	5	1
M25861B	3	2	1	2	2	2	3	7	1
M25881F	3	5	5	4	5	5	8	4	2
M25949J	3	9	10	8	9	9	10	3	2
M25951C	3	9	10	8	8	8	10	3	2
M25957J	3	5	4	4	5	6	7	6	2
M25962F	3	4	3	4	5	2	6	4	2
M25978P	3	9	9	8	7	8	8	7	2
M26011V	3	5	5	4	4	4	6	4	5
M26032A	3	5	4	8	8	4	8	2	2
M26039H	3	5	6	7	3	4	1	9	1
M26041B	3	10	10	9	9	10	10	6	1
M26043D	3	2	1	3	3	1	2	7	1
M26044E	3	8	9	10	7	8	5	1	5
M26046G	3	3	3	2	4	4	8	3	2
M26054G	3	10	10	10	10	10	9	2	5
M26082L	3	1	1	1	2	1	2	6	1
M26092N	3	6	7	6	6	7	8	1	5
M26097T	3	8	9	10	9	8	8	1	5
M26111Y	3	1	1	1	1	3	2	6	2
M26155L	3	9	10	8	7	8	10	2	5
M26164M	3	10	10	10	10	9	10	9	1
M26197W	3	2	3	2	2	3	5	4	6
M26222E	3	6	7	6	7	6	6	3	2
M26248Q	3	4	5	3	3	5	3	8	1
M26250J	3	8	9	8	10	10	9	1	5
M26259T	3	7	8	9	7	9	7	1	5
M26287X	3	6	6	6	4	7	8	3	2
M26313G	3	10	10	10	9	9	10	6	1
M26314H	3	5	5	5	5	5	7	8	3
M26319N	3	7	6	7	6	8	5	9	1
M26336P	3	10	10	9	9	7	10	5	2
M26349U	3	7	7	7	6	6	7	3	1
M26411H	3	5	5	4	4	5	9	6	3
M26425P	3	8	8	7	9	10	9	2	2
M26476A	3	8	9	8	8	6	9	3	2
M26506P	3	6	7	7	7	9	9	1	6
M26570X	3	5	6	4	7	9	6	1	6
M26577E	3	9	10	10	9	6	10	3	2
M26580Z	3	4	4	4	5	2	3	6	2
M26604Q	3	10	9	8	9	10	9	8	5
M26612Q	3	5	3	5	5	5	4	9	3
M26637Z	3	6	6	6	7	6	4	5	5
M26663B	3	5	5	5	4	3	3	8	5
M26719A	3	5	6	4	4	5	2	5	1
M26735A	3	5	4	7	5	4	5	6	3
M26747E	3	10	10	10	9	9	10	4	2
M26768K	3	9	9	10	9	7	10	2	2
M26793L	3	1	1	2	2	1	3	8	2
M26799S	3	5	4	8	8	4	8	2	2
M26800S	3	5	6	4	5	6	9	8	1
M26832A	3	9	9	8	9	9	10	5	2
M26839H	3	6	5	5	7	7	8	8	2
M26843D	3	6	7	6	7	9	8	1	5
M26875M	3	10	9	10	10	10	9	4	1
M26889T	3	8	7	7	7	8	8	10	6
M26938K	3	10	9	9	9	10	10	5	2
M26978T	3	10	9	10	9	10	10	5	1
M26984R	3	10	9	10	9	10	8	10	1
M27007D	3	4	3	4	5	2	6	4	2
M27020A	3	10	10	10	9	10	10	4	3
M27052J	3	10	9	9	7	10	10	5	2
M27055M	3	2	2	2	3	1	3	9	1
M27065P	3	10	9	9	9	10	9	8	1
M27076S	3	9	9	9	8	10	9	3	2
M27082Q	3	7	7	6	4	7	6	10	2
M27091R	3	5	5	6	8	6	3	1	5
M27099Z	3	9	9	9	10	10	9	2	3
M27123G	3	6	7	5	6	5	6	6	1
M27128M	3	3	3	4	3	3	5	4	2
M27134K	3	10	10	10	10	8	8	5	1
M27162P	3	4	4	4	3	4	6	5	3
M27176V	3	9	8	8	10	8	9	6	2
M27212G	3	1	1	1	1	1	1	8	2
M27227P	3	2	1	2	4	1	4	9	3
M27233M	3	2	2	2	2	1	3	4	1
M27255T	3	4	5	4	3	4	5	2	5
M27259X	3	7	8	6	9	7	8	3	2
M27263T	3	10	9	10	9	10	10	7	1
M27269Z	3	9	8	9	9	8	7	3	2
M27274W	3	9	8	8	9	8	9	10	5
M27282W	3	10	9	9	9	10	9	8	1
M27283X	3	5	6	4	5	6	9	8	1
M27309Q	3	9	9	8	9	9	10	5	2
M27323N	3	1	1	2	3	1	2	8	1
M27347W	3	8	7	9	8	6	4	10	1
M27349Y	3	4	4	4	5	3	4	6	3
M27352T	3	10	9	9	10	10	10	4	1
M27353U	3	7	6	7	7	7	7	2	5
M27370V	3	8	9	7	8	8	10	2	2
M27383A	3	10	10	9	10	10	10	7	1
M27398H	3	3	3	3	4	3	3	8	2
M27411M	3	9	9	9	8	8	9	3	2
M27418U	3	2	2	2	4	3	5	3	6
M27586K	3	10	10	10	10	10	10	6	1
M27716B	3	3	4	4	3	3	1	10	1
M27762H	3	1	2	2	2	1	2	7	1
M27789U	3	1	1	1	2	2	2	5	2
M27792P	3	3	4	4	2	2	4	9	1
M27809F	3	8	7	7	8	7	7	10	5
M27846L	3	9	7	10	6	8	7	9	1
M27888W	3	8	8	8	8	6	9	3	2
M27890Q	3	1	1	1	1	1	1	9	1
M27921E	3	5	5	4	8	8	6	1	6
M27941J	3	6	6	6	4	4	5	7	3
M27959U	3	10	10	9	10	10	10	2	3
M27979Y	3	10	9	10	10	10	9	8	1
M27980R	3	2	3	2	2	3	2	9	1
M27989A	3	2	2	2	2	2	1	3	2
M27997A	3	6	5	5	7	4	6	9	2
M28012E	3	1	1	1	1	2	1	10	1
M28067V	3	10	10	10	9	10	3	9	1
M28087Z	3	2	2	2	1	2	4	6	4
M28122K	3	7	6	7	6	8	5	9	1
