MCSID	FACTRY00	FAREGN00	FDRSPO00	FDMINT00	FDPINT00	FDHTYP00	FDHTYS00	FDRELP00	FDNATM00	FDMINH00	FDNATF00	FDFINH00	FDOTHS00	FDNOCM00	FDTOTS00	FDNSIB00	FDHSIB00	FDSSIB00	FDASIB00	FDFSIB00	FDGPAR00	FDOTHA00	FDNUMH00	FDTOTP00	FDHLAN00	FDROOW00	FDCWRK00	FOEDE000	FOEDP000	FOECDUK0	FOECDSC0
M21155Q	1	8	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	609.93	0	5	5
M21156R	2	10	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	2	2	1	454.25	0	4	4
M21159U	1	8	2	1	1	1	1	2	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	611.49	0	5	5
M21160M	1	8	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	769.3	0	5	5
M21161N	3	11	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	568.51	0	5	4
M21166T	1	2	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	6	3	400.2	0	3	3
M21167U	1	6	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	1	5	378.49	0	3	3
M21170P	1	3	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	3	4	3	156.91	1	1	1
M21171Q	3	11	4	1	4	2	1	2	1	1	4	2	2	1	3	2	1	1	2	2	2	2	4	5	1	4	1	245.68	1	2	1
M21175U	4	12	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	1	1	294.47	0	2	3
M21177W	1	3	8	2	4	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	4	-1	4	132.97	1	1	1
