MCSID	GCNUM00	GCCHIC100	GCNAEX00	GCNAEG1	GCNAEG2	GCNAEG3	GCNAAS0A	GCNAAS0B	GCNAAS0C	GCNAAS0D	GCNAAS0E	GCNAAS0F	GCNAAS0G	GCNAAS0H	GCNAAS0I	GCNAAS0J
M10802P	1	1	5	2	1	4	5	1	3	4	1	5	2	6	5	6
M10809W	1	1	5	2	1	4	2	1	3	3	5	4	3	4	4	3
M10811Q	1	1	5	2	1	4	5	4	5	1	2	3	2	3	4	3
M10815U	1	1	5	2	1	4	5	1	3	5	1	5	4	6	6	6
M10816V	1	1	5	2	1	4	5	1	3	4	1	5	6	6	6	6
M10818X	1	1	5	2	3	4	5	3	4	3	4	6	3	6	6	6
M10819Y	1	1	5	2	1	4	1	1	4	1	1	5	4	1	1	1
M10820R	1	1	5	2	1	4	5	3	3	4	2	5	5	3	3	2
M10821S	1	1	5	2	1	3	5	6	4	3	4	2	5	6	6	6
M10832V	1	1	5	2	1	6	4	1	4	1	1	5	5	5	3	4
M10840V	1	1	5	2	1	4	2	1	2	4	6	3	5	1	3	3
M10843Y	1	1	5	2	1	4	5	1	3	4	1	5	4	4	3	3
M10845A	1	1	5	2	1	4	5	1	3	5	1	5	4	4	2	2
M10850X	1	1	5	2	1	4	5	1	3	3	1	5	4	4	2	3
M10857E	1	1	5	2	1	4	5	1	3	3	1	6	6	6	6	6
M10858F	1	1	5	2	1	4	1	1	3	2	3	3	6	2	3	5
M10863C	1	1	5	1	1	4	5	2	3	4	1	5	2	3	6	6
M10867G	1	1	5	2	1	5	5	1	5	1	5	1	5	2	5	2
M10873E	1	1	5	2	1	4	5	2	5	2	1	5	3	6	6	6
M10879L	1	1	5	2	1	3	5	1	3	4	1	5	6	4	2	6
M10881E	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	6
M10883G	1	1	5	2	1	4	5	1	5	1	3	3	5	1	5	5
M10889N	1	1	5	2	1	4	5	6	4	1	4	4	2	6	6	6
M10890F	1	1	5	2	1	4	5	1	3	5	1	4	2	4	5	2
M10895L	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10899Q	1	1	5	2	1	4	3	1	3	4	2	4	4	4	2	3
M10900Q	1	1	5	2	1	5	5	1	3	3	1	5	4	3	2	4
M10902S	1	1	5	2	1	4	5	1	3	5	3	4	4	4	3	4
M10903T	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10905V	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	4
M10907X	1	1	5	2	1	4	5	1	3	4	1	5	6	6	6	6
M10913V	1	1	5	2	1	4	5	3	3	4	1	5	5	5	4	2
M10914W	1	1	5	2	1	4	5	1	3	4	3	5	4	6	2	6
M10915X	1	1	5	2	1	4	5	1	3	4	1	4	4	4	2	5
